id_transacao,id_cliente,data_transacao,valor,tipo_transacao,canal,cidade_transacao,pais_transacao,dispositivo,flag_fraude_confirmada
TRX17A00001,CART0057,2025-04-14 14:51:43,164.44,Presencial,Cartão de Débito,Londrina,Brasil,Celular,0
TRX17A00002,CART0008,2025-04-18 03:33:05,286.06,Online,Cartão de Débito,Curitiba,Brasil,Notebook,0
TRX17A00003,CART0176,2025-04-17 06:15:55,223.96,Presencial,Cartão de Débito,Cambé,Brasil,Celular,0
TRX17A00004,CART0011,2025-04-09 03:17:52,2540.19,Online,Cartão de Débito,Fortaleza,Brasil,Desconhecido,0
TRX17A00005,CART0010,2025-04-01 13:53:03,492.93,Presencial,Cartão de Débito,Rolândia,Brasil,Notebook,0
TRX17A00006,CART0045,2025-04-24 15:36:20,1525.45,Presencial,Cartão de Crédito,Rolândia,Brasil,Desconhecido,0
TRX17A00007,CART0013,2025-04-13 00:40:31,2755.47,Presencial,Cartão de Débito,Ibiporã,Brasil,Desconhecido,0
TRX17A00008,CART0067,2025-04-29 20:17:37,2818.96,Online,Cartão de Débito,São Paulo,Brasil,Desconhecido,0
TRX17A00009,CART0051,2025-04-20 00:24:59,1490.61,Online,Cartão de Débito,Salvador,Brasil,Notebook,0
TRX17A00010,CART0056,2025-04-08 20:52:33,1968.78,Online,Cartão de Débito,Ibiporã,Brasil,Celular,0
TRX17A00011,CART0028,2025-04-28 01:47:56,1622.96,Presencial,Cartão de Crédito,Londrina,Brasil,Desconhecido,0
TRX17A00012,CART0101,2025-04-21 03:18:40,2791.57,Online,Cartão de Débito,Arapongas,Brasil,Desconhecido,0
TRX17A00013,CART0085,2025-04-08 02:13:13,836.66,Presencial,Cartão de Débito,Ibiporã,Brasil,Desconhecido,0
TRX17A00014,CART0181,2025-04-02 23:55:09,2740.05,Online,Cartão de Crédito,Londrina,Brasil,Desconhecido,0
TRX17A00015,CART0102,2025-04-27 04:10:05,2141.45,Presencial,Cartão de Débito,Rolândia,Brasil,POS,0
TRX17A00016,CART0103,2025-04-18 13:32:04,1843.19,Online,Cartão de Crédito,Cambé,Brasil,Notebook,0
TRX17A00017,CART0105,2025-04-14 20:21:17,1215.35,Presencial,Cartão de Débito,Rolândia,Brasil,Celular,0
TRX17A00018,CART0027,2025-04-02 22:44:44,2438.36,Presencial,Cartão de Débito,Arapongas,Brasil,Notebook,0
TRX17A00019,CART0186,2025-04-05 08:40:27,1437.24,Presencial,Cartão de Débito,Arapongas,Brasil,Notebook,0
TRX17A00020,CART0091,2025-04-24 18:13:07,2918.58,Presencial,Cartão de Débito,Cambé,Brasil,POS,0
TRX17A00021,CART0140,2025-04-23 15:58:32,252.44,Presencial,Cartão de Débito,Desconhecido,Estados Unidos,Desconhecido,0
TRX17A00022,CART0071,2025-04-28 21:15:56,1165.03,Presencial,Cartão de Débito,Rio de Janeiro,Brasil,Notebook,0
TRX17A00023,CART0044,2025-04-24 04:05:06,193.24,Presencial,Cartão de Débito,Fortaleza,Brasil,Notebook,0
TRX17A00024,CART0046,2025-04-03 08:11:04,1667.08,Online,Cartão de Crédito,Ibiporã,Brasil,POS,0
TRX17A00025,CART0107,2025-04-24 14:32:11,806.37,Online,Cartão de Débito,Arapongas,Brasil,Celular,0
TRX17A00026,CART0028,2025-04-24 03:58:05,1175.38,Presencial,Cartão de Débito,Ibiporã,Brasil,POS,0
TRX17A00027,CART0086,2025-04-01 02:19:18,2476.21,Presencial,Cartão de Débito,Londrina,Brasil,Desconhecido,0
TRX17A00028,CART0120,2025-04-25 00:16:23,630.56,Presencial,Cartão de Débito,Cambé,Brasil,Celular,0
TRX17A00029,CART0020,2025-04-16 21:17:04,318.02,Presencial,Cartão de Crédito,Londrina,Brasil,POS,0
TRX17A00030,CART0118,2025-04-27 11:16:11,1182.84,Presencial,Cartão de Débito,Curitiba,Brasil,Celular,0
TRX17A00031,CART0054,2025-04-20 09:22:54,2406.41,Presencial,Cartão de Crédito,Ibiporã,Brasil,Celular,0
TRX17A00032,CART0174,2025-04-18 06:27:09,2146.7,Presencial,Cartão de Débito,Rolândia,Brasil,Notebook,0
TRX17A00033,CART0128,2025-04-25 16:38:59,472.95,Online,Cartão de Débito,Londrina,Brasil,Celular,0
TRX17A00034,CART0085,2025-04-20 20:04:16,1826.98,Presencial,Cartão de Débito,Cambé,Brasil,Desconhecido,0
TRX17A00035,CART0010,2025-04-01 22:12:55,2951.28,Presencial,Cartão de Crédito,Rio de Janeiro,Brasil,Desconhecido,0
TRX17A00036,CART0019,2025-04-09 06:43:45,2507.45,Presencial,Cartão de Débito,Arapongas,Brasil,POS,0
TRX17A00037,CART0149,2025-04-22 06:35:09,1008.59,Online,Cartão de Débito,Desconhecido,Argentina,Desconhecido,0
TRX17A00038,CART0005,2025-04-09 22:15:54,783.57,Presencial,Cartão de Débito,Desconhecido,Portugal,Desconhecido,0
TRX17A00039,CART0011,2025-04-23 18:32:01,568.71,Online,Cartão de Débito,Cambé,Brasil,Desconhecido,0
TRX17A00040,CART0197,2025-04-29 13:06:07,144.94,Online,Cartão de Débito,Arapongas,Brasil,Celular,0
TRX17A00041,CART0131,2025-04-12 01:03:29,2327.88,Online,Cartão de Crédito,Londrina,Brasil,Notebook,0
TRX17A00042,CART0063,2025-04-04 09:16:21,972.14,Presencial,Cartão de Débito,Arapongas,Brasil,Notebook,0
