id_transacao,id_cliente,data_transacao,valor,tipo_transacao,canal,cidade_transacao,pais_transacao,dispositivo,flag_fraude_confirmada
TRX17C00001,CART0058,2025-06-07 10:39:11,1671.66,Presencial,Cartão de Crédito,Salvador,Brasil,POS,0
TRX17C00002,CART0001,2025-06-26 17:11:19,1748.69,Presencial,Cartão de Crédito,Desconhecido,México,Celular,0
TRX17C00003,CART0070,2025-06-11 14:25:44,182.78,Presencial,Cartão de Crédito,Arapongas,Brasil,Celular,0
TRX17C00004,CART0078,2025-06-14 12:20:08,1226.73,Presencial,Cartão de Débito,Ibiporã,Brasil,POS,0
TRX17C00005,CART0169,2025-06-22 06:22:54,1548.32,Presencial,Cartão de Crédito,Arapongas,Brasil,Celular,0
TRX17C00006,CART0061,2025-06-12 18:37:37,1580.96,Presencial,Cartão de Crédito,Arapongas,Brasil,Celular,0
TRX17C00007,CART0056,2025-06-06 10:32:14,345.0,Presencial,Cartão de Crédito,Rolândia,Brasil,Notebook,0
TRX17C00008,CART0079,2025-06-13 18:30:40,574.57,Presencial,Cartão de Débito,Londrina,Brasil,POS,0
TRX17C00009,CART0079,2025-06-09 05:58:40,1422.74,Presencial,Cartão de Crédito,Fortaleza,Brasil,Celular,0
TRX17C00010,CART0129,2025-06-02 11:45:15,860.15,Online,Cartão de Débito,Arapongas,Brasil,Notebook,0
TRX17C00011,CART0061,2025-06-17 16:28:40,1610.45,Online,Cartão de Crédito,Salvador,Brasil,POS,0
TRX17C00012,CART0029,2025-06-17 08:17:22,793.44,Online,Cartão de Crédito,Londrina,Brasil,POS,0
TRX17C00013,CART0062,2025-06-23 10:45:53,195.49,Online,Cartão de Crédito,Rolândia,Brasil,POS,0
TRX17C00014,CART0197,2025-06-08 01:31:35,2740.18,Online,Cartão de Crédito,Rio de Janeiro,Brasil,Desconhecido,0
TRX17C00015,CART0132,2025-06-30 04:23:03,258.23,Online,Cartão de Débito,Cambé,Brasil,Notebook,0
