id_transacao,id_cliente,data_transacao,valor,tipo_transacao,canal,cidade_transacao,pais_transacao,dispositivo,flag_fraude_confirmada
TRX17B00001,CART0034,2025-05-13 23:06:53,2944.42,Presencial,Cartão de Débito,Curitiba,Brasil,Desconhecido,0
TRX17B00002,CART0022,2025-05-02 20:13:36,666.16,Online,Cartão de Débito,Arapongas,Brasil,Desconhecido,0
TRX17B00003,CART0108,2025-05-20 05:22:21,705.78,Presencial,Cartão de Débito,Desconhecido,Portugal,Notebook,0
TRX17B00004,CART0199,2025-05-13 20:33:41,1546.55,Online,Cartão de Crédito,Cambé,Brasil,POS,0
TRX17B00005,CART0102,2025-05-28 21:23:12,946.11,Online,Cartão de Crédito,Rio de Janeiro,Brasil,POS,0
TRX17B00006,CART0184,2025-05-12 05:48:06,2833.24,Presencial,Cartão de Crédito,Arapongas,Brasil,Celular,0
TRX17B00007,CART0157,2025-05-27 00:49:40,2066.4,Online,Cartão de Débito,Cambé,Brasil,POS,0
TRX17B00008,CART0051,2025-05-27 07:57:34,1680.69,Online,Cartão de Débito,Ibiporã,Brasil,Notebook,0
TRX17B00009,CART0077,2025-05-30 06:57:07,599.72,Presencial,Cartão de Crédito,Ibiporã,Brasil,Celular,0
TRX17B00010,CART0114,2025-05-19 00:58:26,391.38,Online,Cartão de Crédito,Desconhecido,Argentina,Celular,0
TRX17B00011,CART0027,2025-05-21 10:44:18,2443.82,Presencial,Cartão de Crédito,São Paulo,Brasil,POS,0
TRX17B00012,CART0017,2025-05-06 09:15:48,1068.22,Presencial,Cartão de Crédito,Londrina,Brasil,Celular,0
TRX17B00013,CART0063,2025-05-21 10:19:23,1295.77,Presencial,Cartão de Crédito,Cambé,Brasil,POS,0
TRX17B00014,CART0147,2025-05-20 23:02:38,874.2,Online,Cartão de Crédito,Ibiporã,Brasil,Notebook,0
TRX17B00015,CART0134,2025-05-30 21:49:09,173.8,Presencial,Cartão de Débito,Arapongas,Brasil,Desconhecido,0
TRX17B00016,CART0165,2025-05-17 16:47:33,351.22,Presencial,Cartão de Débito,Rolândia,Brasil,Celular,0
TRX17B00017,CART0144,2025-05-21 21:54:21,2024.52,Online,Cartão de Débito,Arapongas,Brasil,Desconhecido,0
TRX17B00018,CART0105,2025-05-05 22:54:16,2397.78,Presencial,Cartão de Crédito,Desconhecido,Portugal,POS,0
TRX17B00019,CART0115,2025-05-18 18:06:09,446.53,Presencial,Cartão de Débito,Londrina,Brasil,Desconhecido,0
TRX17B00020,CART0183,2025-05-02 12:39:33,214.25,Online,Cartão de Crédito,Cambé,Brasil,Desconhecido,0
TRX17B00021,CART0197,2025-05-13 10:14:11,646.03,Presencial,Cartão de Débito,Cambé,Brasil,POS,0
TRX17B00022,CART0029,2025-05-30 21:21:22,1871.55,Online,Cartão de Débito,Arapongas,Brasil,Desconhecido,0
TRX17B00023,CART0153,2025-05-28 17:01:38,382.19,Online,Cartão de Crédito,Desconhecido,Portugal,Celular,0
TRX17B00024,CART0166,2025-05-20 04:44:58,1002.67,Online,Cartão de Débito,Curitiba,Brasil,Desconhecido,0
TRX17B00025,CART0002,2025-05-16 17:21:00,282.42,Presencial,Cartão de Crédito,Arapongas,Brasil,POS,0
TRX17B00026,CART0059,2025-05-21 03:42:36,1590.47,Presencial,Cartão de Débito,Londrina,Brasil,Notebook,0
TRX17B00027,CART0040,2025-05-08 02:28:07,2807.8,Online,Cartão de Crédito,Londrina,Brasil,Celular,0
TRX17B00028,CART0186,2025-05-21 20:27:02,1889.88,Online,Cartão de Crédito,Arapongas,Brasil,POS,0
TRX17B00029,CART0031,2025-05-17 10:14:32,574.81,Presencial,Cartão de Crédito,Londrina,Brasil,Desconhecido,0
TRX17B00030,CART0157,2025-05-02 08:06:37,2444.83,Presencial,Cartão de Crédito,Londrina,Brasil,Desconhecido,0
TRX17B00031,CART0102,2025-05-06 05:56:23,2919.63,Presencial,Cartão de Débito,Arapongas,Brasil,POS,0
TRX17B00032,CART0167,2025-05-10 19:19:23,1629.34,Presencial,Cartão de Crédito,Rio de Janeiro,Brasil,Notebook,0
TRX17B00033,CART0077,2025-05-18 20:13:45,256.38,Online,Cartão de Débito,Rolândia,Brasil,Desconhecido,0
TRX17B00034,CART0106,2025-05-31 16:28:48,52.29,Online,Cartão de Débito,Ibiporã,Brasil,Notebook,0
TRX17B00035,CART0065,2025-05-21 22:05:41,2704.89,Online,Cartão de Crédito,Rolândia,Brasil,Celular,0
TRX17B00036,CART0150,2025-05-16 20:49:17,234.8,Presencial,Cartão de Crédito,Rolândia,Brasil,Notebook,0
TRX17B00037,CART0098,2025-05-01 16:23:52,1509.59,Online,Cartão de Débito,Londrina,Brasil,Notebook,0
TRX17B00038,CART0073,2025-05-17 22:09:04,968.25,Presencial,Cartão de Débito,Ibiporã,Brasil,Celular,0
TRX17B00039,CART0146,2025-05-31 14:30:37,2367.61,Online,Cartão de Crédito,Ibiporã,Brasil,Notebook,0
TRX17B00040,CART0200,2025-05-31 06:19:13,2624.8,Presencial,Cartão de Crédito,Arapongas,Brasil,Celular,0
TRX17B00041,CART0034,2025-05-08 08:50:38,340.7,Online,Cartão de Crédito,Londrina,Brasil,Celular,0
TRX17B00042,CART0189,2025-05-22 00:35:29,2185.88,Online,Cartão de Débito,Rolândia,Brasil,POS,0
TRX17B00043,CART0146,2025-05-13 00:19:46,803.37,Presencial,Cartão de Débito,Curitiba,Brasil,Notebook,0
TRX17B00044,CART0064,2025-05-04 02:15:37,2731.96,Online,Cartão de Crédito,Rolândia,Brasil,POS,0
TRX17B00045,CART0003,2025-05-18 20:00:05,2587.85,Presencial,Cartão de Crédito,Rolândia,Brasil,Desconhecido,0
TRX17B00046,CART0048,2025-05-12 14:23:17,431.19,Online,Cartão de Crédito,Rio de Janeiro,Brasil,Desconhecido,0
TRX17B00047,CART0115,2025-05-08 10:53:17,512.74,Online,Cartão de Crédito,Cambé,Brasil,Desconhecido,0
TRX17B00048,CART0092,2025-05-26 09:54:02,1950.44,Presencial,Cartão de Débito,Cambé,Brasil,Celular,0
TRX17B00049,CART0144,2025-05-24 07:31:25,1019.9,Online,Cartão de Débito,Arapongas,Brasil,POS,0
TRX17B00050,CART0166,2025-05-19 06:43:44,153.48,Online,Cartão de Crédito,Arapongas,Brasil,Desconhecido,0
TRX17B00051,CART0081,2025-05-04 12:58:34,12.46,Online,Cartão de Débito,Rolândia,Brasil,POS,0
TRX17B00052,CART0199,2025-05-13 05:18:56,1510.44,Presencial,Cartão de Crédito,Cambé,Brasil,POS,0
TRX17B00053,CART0164,2025-05-04 01:47:28,2696.08,Online,Cartão de Débito,Rolândia,Brasil,Desconhecido,0
TRX17B00054,CART0089,2025-05-29 10:28:07,2609.17,Online,Cartão de Débito,Ibiporã,Brasil,Desconhecido,0
TRX17B00055,CART0071,2025-05-18 08:16:38,811.16,Online,Cartão de Débito,Curitiba,Brasil,Desconhecido,0
TRX17B00056,CART0024,2025-05-26 22:43:12,1338.82,Presencial,Cartão de Crédito,Arapongas,Brasil,Desconhecido,0
TRX17B00057,CART0035,2025-05-04 20:24:23,792.43,Online,Cartão de Débito,Cambé,Brasil,Celular,0
TRX17B00058,CART0020,2025-05-31 04:46:06,1714.56,Presencial,Cartão de Débito,Londrina,Brasil,Notebook,0
TRX17B00059,CART0099,2025-05-30 18:58:49,2871.28,Presencial,Cartão de Débito,Salvador,Brasil,Celular,0
TRX17B00060,CART0037,2025-05-04 18:50:54,547.32,Presencial,Cartão de Débito,Rolândia,Brasil,Notebook,0
TRX17B00061,CART0054,2025-05-18 18:15:14,2501.57,Online,Cartão de Débito,Ibiporã,Brasil,Desconhecido,0
TRX17B00062,CART0126,2025-05-19 16:41:13,1250.6,Online,Cartão de Crédito,Salvador,Brasil,Notebook,0
TRX17B00063,CART0155,2025-05-24 12:43:00,2855.2,Presencial,Cartão de Débito,Desconhecido,Estados Unidos,Notebook,0
TRX17B00064,CART0029,2025-05-22 19:33:58,812.89,Online,Cartão de Crédito,Cambé,Brasil,Notebook,0
TRX17B00065,CART0111,2025-05-28 04:59:46,1447.27,Presencial,Cartão de Débito,Arapongas,Brasil,Notebook,0
TRX17B00066,CART0054,2025-05-07 13:26:17,1503.73,Presencial,Cartão de Crédito,Cambé,Brasil,Desconhecido,0
TRX17B00067,CART0026,2025-05-13 13:53:43,563.91,Online,Cartão de Crédito,Cambé,Brasil,Celular,0
TRX17B00068,CART0064,2025-05-12 09:47:03,1281.51,Online,Cartão de Débito,Fortaleza,Brasil,Celular,0
TRX17B00069,CART0159,2025-05-14 08:25:28,2044.73,Presencial,Cartão de Crédito,Cambé,Brasil,Notebook,0
TRX17B00070,CART0112,2025-05-03 01:49:34,1722.16,Online,Cartão de Crédito,Arapongas,Brasil,POS,0
TRX17B00071,CART0116,2025-05-01 00:26:36,2416.34,Presencial,Cartão de Débito,Rolândia,Brasil,Desconhecido,0
TRX17B00072,CART0141,2025-05-12 06:42:54,851.71,Presencial,Cartão de Crédito,Cambé,Brasil,Celular,0
TRX17B00073,CART0074,2025-05-22 20:15:38,1164.87,Presencial,Cartão de Débito,Rolândia,Brasil,Celular,0
TRX17B00074,CART0131,2025-05-19 07:30:41,1801.8,Online,Cartão de Crédito,Cambé,Brasil,POS,0
TRX17B00075,CART0197,2025-05-25 09:15:05,864.29,Presencial,Cartão de Crédito,São Paulo,Brasil,Notebook,0
TRX17B00076,CART0053,2025-05-23 12:49:06,1135.64,Presencial,Cartão de Débito,Ibiporã,Brasil,POS,0
TRX17B00077,CART0133,2025-05-28 13:56:30,936.41,Online,Cartão de Crédito,Cambé,Brasil,Celular,0
TRX17B00078,CART0184,2025-05-27 19:45:02,409.05,Online,Cartão de Crédito,Rio de Janeiro,Brasil,Desconhecido,0
TRX17B00079,CART0144,2025-05-17 03:00:33,1765.25,Presencial,Cartão de Débito,Londrina,Brasil,Celular,0
TRX17B00080,CART0029,2025-05-09 03:15:29,1211.47,Presencial,Cartão de Débito,Ibiporã,Brasil,POS,0
TRX17B00081,CART0045,2025-05-04 16:58:20,1399.94,Online,Cartão de Débito,Londrina,Brasil,Desconhecido,0
TRX17B00082,CART0019,2025-05-13 04:22:57,2286.35,Presencial,Cartão de Crédito,Arapongas,Brasil,Celular,0
TRX17B00083,CART0055,2025-05-24 04:58:16,164.19,Presencial,Cartão de Crédito,Ibiporã,Brasil,POS,0
TRX17B00084,CART0020,2025-05-03 02:59:55,420.85,Presencial,Cartão de Crédito,Rio de Janeiro,Brasil,Desconhecido,0
TRX17B00085,CART0114,2025-05-20 05:29:02,170.66,Presencial,Cartão de Crédito,Arapongas,Brasil,Notebook,1
TRX17B00086,CART0004,2025-05-13 08:50:08,1629.93,Online,Cartão de Débito,Rolândia,Brasil,Desconhecido,0
TRX17B00087,CART0168,2025-05-14 13:24:14,772.97,Online,Cartão de Crédito,Rolândia,Brasil,Notebook,0
TRX17B00088,CART0154,2025-05-07 06:52:18,2342.39,Online,Cartão de Débito,Arapongas,Brasil,Celular,0
TRX17B00089,CART0106,2025-05-18 09:23:45,2488.22,Online,Cartão de Crédito,Londrina,Brasil,Notebook,0
TRX17B00090,CART0109,2025-05-02 02:40:18,472.21,Presencial,Cartão de Crédito,Arapongas,Brasil,POS,0
TRX17B00091,CART0128,2025-05-30 09:38:27,2947.1,Online,Cartão de Crédito,Curitiba,Brasil,Celular,0
TRX17B00092,CART0174,2025-05-18 04:26:37,2864.0,Online,Cartão de Débito,Arapongas,Brasil,POS,0
TRX17B00093,CART0116,2025-05-30 17:09:01,2823.45,Online,Cartão de Débito,Rolândia,Brasil,Desconhecido,0
TRX17B00094,CART0006,2025-05-15 01:03:20,78.27,Online,Cartão de Crédito,Arapongas,Brasil,POS,0
TRX17B00095,CART0087,2025-05-04 07:51:24,1745.47,Online,Cartão de Crédito,Rolândia,Brasil,Celular,0
TRX17B00096,CART0123,2025-05-13 03:58:13,2032.06,Presencial,Cartão de Débito,Londrina,Brasil,POS,0
TRX17B00097,CART0126,2025-05-30 18:17:39,2020.61,Presencial,Cartão de Crédito,Arapongas,Brasil,Celular,0
TRX17B00098,CART0008,2025-05-09 03:25:42,963.99,Presencial,Cartão de Crédito,Ibiporã,Brasil,Celular,0
TRX17B00099,CART0042,2025-05-28 14:35:40,1286.38,Presencial,Cartão de Débito,Rolândia,Brasil,Desconhecido,0
TRX17B00100,CART0188,2025-05-16 22:19:31,2174.11,Online,Cartão de Débito,Rolândia,Brasil,POS,0
TRX17B00101,CART0046,2025-05-03 01:40:39,551.03,Online,Cartão de Crédito,Arapongas,Brasil,POS,0
TRX17B00102,CART0139,2025-05-05 13:34:12,1278.83,Online,Cartão de Débito,Cambé,Brasil,Desconhecido,0
TRX17B00103,CART0110,2025-05-17 14:03:03,1415.47,Presencial,Cartão de Crédito,Arapongas,Brasil,Desconhecido,0
TRX17B00104,CART0180,2025-05-01 04:29:10,2132.64,Presencial,Cartão de Crédito,Londrina,Brasil,Celular,0
TRX17B00105,CART0028,2025-05-06 13:07:19,809.1,Presencial,Cartão de Crédito,Ibiporã,Brasil,Desconhecido,0
TRX17B00106,CART0160,2025-05-03 00:17:40,1737.59,Presencial,Cartão de Crédito,Cambé,Brasil,POS,0
TRX17B00107,CART0035,2025-05-12 02:21:23,2391.99,Online,Cartão de Crédito,Ibiporã,Brasil,Notebook,0
TRX17B00108,CART0010,2025-05-09 21:34:47,1578.71,Online,Cartão de Crédito,Londrina,Brasil,Celular,0
TRX17B00109,CART0033,2025-05-21 23:20:04,791.27,Online,Cartão de Débito,Londrina,Brasil,Notebook,0
TRX17B00110,CART0035,2025-05-17 09:15:31,2896.24,Online,Cartão de Débito,Cambé,Brasil,Desconhecido,0
TRX17B00111,CART0110,2025-05-18 10:37:04,1370.56,Online,Cartão de Crédito,Cambé,Brasil,Celular,0
TRX17B00112,CART0094,2025-05-18 11:09:42,1673.17,Online,Cartão de Débito,Londrina,Brasil,Desconhecido,0
TRX17B00113,CART0026,2025-05-22 20:35:09,2649.93,Presencial,Cartão de Crédito,Arapongas,Brasil,POS,0
TRX17B00114,CART0159,2025-05-15 05:10:08,1022.26,Online,Cartão de Débito,Arapongas,Brasil,POS,0
TRX17B00115,CART0060,2025-05-04 02:43:00,2495.78,Online,Cartão de Débito,Desconhecido,México,POS,0
TRX17B00116,CART0089,2025-05-10 06:04:50,1880.14,Presencial,Cartão de Crédito,Ibiporã,Brasil,Notebook,0
TRX17B00117,CART0115,2025-05-12 20:28:12,497.25,Online,Cartão de Débito,Ibiporã,Brasil,Notebook,0
TRX17B00118,CART0191,2025-05-20 20:02:30,2842.07,Online,Cartão de Débito,Rolândia,Brasil,Notebook,0
TRX17B00119,CART0184,2025-05-13 15:28:39,716.06,Online,Cartão de Débito,Arapongas,Brasil,Celular,0
TRX17B00120,CART0139,2025-05-26 14:38:44,1373.91,Presencial,Cartão de Crédito,Fortaleza,Brasil,Celular,0
